AdaBoostRegressor,CatBoostRegressor,CatBoostRegressor_opt,DummyRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
1.0,2.361622659932306e-27,3.6971497712555225e-13,1.0,0.0030797520361199,4.611264062438867e-17,4.439589735664229e-15,1.0,0.000531666707924741,0.0019439869010198947,2.716670692713423e-08,0.07423717306069051,1.1190512740553858e-07,4.633966957875741e-16
2.361622659932306e-27,1.0,0.0008972526774587472,2.211022317769228e-30,3.147566926439038e-42,0.07423717306069051,0.010277027468103354,4.385351670521729e-31,6.053686217840242e-44,1.0043145387338661e-13,1.5650889786903305e-07,1.47402444402637e-38,3.844944662284779e-08,0.02952415625208237
3.6971497712555225e-13,0.0008972526774587472,1.0,1.1353126312179155e-15,3.316320363038646e-26,1.0,1.0,2.9512432697903193e-16,8.17529540532937e-28,0.0019439869010198947,1.0,8.183057603291688e-23,0.7051912122343862,1.0
1.0,2.211022317769228e-30,1.1353126312179155e-15,1.0,0.0527532656470814,9.08535978564072e-20,1.1160351102221632e-17,1.0,0.012629635186777805,5.457484425259261e-05,1.9237222798069246e-10,0.5467401492256053,8.913685879120271e-10,1.0197472626108574e-18
0.0030797520361199,3.147566926439038e-42,3.316320363038646e-26,0.0527532656470814,1.0,7.495829711175494e-31,1.643902571793337e-28,0.08042778219759135,1.0,8.665993016840163e-13,5.607399655742588e-20,1.0,3.883400964942267e-19,1.1071742408080947e-29
4.611264062438867e-17,0.07423717306069051,1.0,9.08535978564072e-20,7.495829711175494e-31,1.0,1.0,2.0959889046580072e-20,1.655207562392291e-32,6.501692352022434e-06,0.06273097334072032,2.361622659932306e-27,0.02952415625208237,1.0
4.439589735664229e-15,0.010277027468103354,1.0,1.1160351102221632e-17,1.643902571793337e-28,1.0,1.0,2.6605313365450806e-18,3.770493864430247e-30,0.00013043205508088174,0.31242425836326587,4.54314696310726e-25,0.15958067924655367,1.0
1.0,4.385351670521729e-31,2.9512432697903193e-16,1.0,0.08042778219759135,2.0959889046580072e-20,2.6605313365450806e-18,1.0,0.02440237510716513,2.273381746399998e-05,5.785242800793662e-11,0.7233821129569299,2.8196970648128034e-10,2.4085022388711093e-19
0.000531666707924741,6.053686217840242e-44,8.17529540532937e-28,0.012629635186777805,1.0,1.655207562392291e-32,3.770493864430247e-30,0.02440237510716513,1.0,4.1935274990722706e-14,1.7340575397591097e-21,1.0,1.2875849073438773e-20,2.563575467873737e-31
0.0019439869010198947,1.0043145387338661e-13,0.0019439869010198947,5.457484425259261e-05,8.665993016840163e-13,6.501692352022434e-06,0.00013043205508088174,2.273381746399998e-05,4.1935274990722706e-14,1.0,0.41675809473397085,4.1212454493882736e-10,0.7051912122343862,3.0295523098445403e-05
2.716670692713423e-08,1.5650889786903305e-07,1.0,1.9237222798069246e-10,5.607399655742588e-20,0.06273097334072032,0.31242425836326587,5.785242800793662e-11,1.7340575397591097e-21,0.41675809473397085,1.0,7.295521889993639e-17,1.0,0.1384115155875887
0.07423717306069051,1.47402444402637e-38,8.183057603291688e-23,0.5467401492256053,1.0,2.361622659932306e-27,4.54314696310726e-25,0.7233821129569299,1.0,4.1212454493882736e-10,7.295521889993639e-17,1.0,4.633966957875741e-16,3.316320363038646e-26
1.1190512740553858e-07,3.844944662284779e-08,0.7051912122343862,8.913685879120271e-10,3.883400964942267e-19,0.02952415625208237,0.15958067924655367,2.8196970648128034e-10,1.2875849073438773e-20,0.7051912122343862,1.0,4.633966957875741e-16,1.0,0.07423717306069051
4.633966957875741e-16,0.02952415625208237,1.0,1.0197472626108574e-18,1.1071742408080947e-29,1.0,1.0,2.4085022388711093e-19,2.563575467873737e-31,3.0295523098445403e-05,0.1384115155875887,3.316320363038646e-26,0.07423717306069051,1.0
