CatBoostRegressor,ExtraTreesRegressor,CatBoostRegressor_opt,GradientBoostingRegressor,XGBRegressor,RandomForestRegressor,MLPRegressor,SVR,KNeighborsRegressor,Ridge,AdaBoostRegressor,ElasticNetCV,LinearRegression,DummyRegressor
0.0,0.0021481907668083333,0.004399510116312233,0.007956287940613371,0.020118469328342048,0.02629535811988984,0.02876727172819063,0.048173760924821396,0.0870652089133207,0.11553482902917084,0.11770808018118434,0.11808992280134745,0.12692066027153565,0.606899225195795
-0.0021481907668083333,0.0,0.0022513193495038997,0.005808097173805038,0.017970278561533715,0.024147167353081506,0.026619080961382297,0.04602557015801306,0.08491701814651237,0.1133866382623625,0.115559889414376,0.11594173203453911,0.12477246950472731,0.6047510344289866
-0.004399510116312233,-0.0022513193495038997,0.0,0.0035567778243011383,0.015718959212029815,0.021895848003577606,0.024367761611878397,0.04377425080850916,0.08266569879700847,0.1111353189128586,0.1133085700648721,0.11369041268503521,0.12252115015522341,0.6024997150794827
-0.007956287940613371,-0.005808097173805038,-0.0035567778243011383,0.0,0.012162181387728677,0.018339070179276468,0.02081098378757726,0.040217472984208025,0.07910892097270733,0.10757854108855747,0.10975179224057097,0.11013363486073408,0.11896437233092227,0.5989429372551816
-0.020118469328342048,-0.017970278561533715,-0.015718959212029815,-0.012162181387728677,0.0,0.006176888791547791,0.008648802399848582,0.028055291596479348,0.06694673958497865,0.09541635970082879,0.09758961085284229,0.0979714534730054,0.1068021909431936,0.5867807558674529
-0.02629535811988984,-0.024147167353081506,-0.021895848003577606,-0.018339070179276468,-0.006176888791547791,0.0,0.002471913608300791,0.021878402804931557,0.06076985079343086,0.089239470909281,0.0914127220612945,0.09179456468145761,0.1006253021516458,0.5806038670759052
-0.02876727172819063,-0.026619080961382297,-0.024367761611878397,-0.02081098378757726,-0.008648802399848582,-0.002471913608300791,0.0,0.019406489196630766,0.05829793718513007,0.08676755730098021,0.08894080845299371,0.08932265107315682,0.09815338854334502,0.5781319534676044
-0.048173760924821396,-0.04602557015801306,-0.04377425080850916,-0.040217472984208025,-0.028055291596479348,-0.021878402804931557,-0.019406489196630766,0.0,0.038891447988499306,0.06736106810434944,0.06953431925636294,0.06991616187652605,0.07874689934671425,0.5587254642709736
-0.0870652089133207,-0.08491701814651237,-0.08266569879700847,-0.07910892097270733,-0.06694673958497865,-0.06076985079343086,-0.05829793718513007,-0.038891447988499306,0.0,0.028469620115850136,0.030642871267863636,0.031024713888026745,0.039855451358214944,0.5198340162824743
-0.11553482902917084,-0.1133866382623625,-0.1111353189128586,-0.10757854108855747,-0.09541635970082879,-0.089239470909281,-0.08676755730098021,-0.06736106810434944,-0.028469620115850136,0.0,0.0021732511520135,0.0025550937721766087,0.011385831242364808,0.49136439616662414
-0.11770808018118434,-0.115559889414376,-0.1133085700648721,-0.10975179224057097,-0.09758961085284229,-0.0914127220612945,-0.08894080845299371,-0.06953431925636294,-0.030642871267863636,-0.0021732511520135,0.0,0.00038184262016310866,0.009212580090351308,0.48919114501461064
-0.11808992280134745,-0.11594173203453911,-0.11369041268503521,-0.11013363486073408,-0.0979714534730054,-0.09179456468145761,-0.08932265107315682,-0.06991616187652605,-0.031024713888026745,-0.0025550937721766087,-0.00038184262016310866,0.0,0.008830737470188199,0.48880930239444753
-0.12692066027153565,-0.12477246950472731,-0.12252115015522341,-0.11896437233092227,-0.1068021909431936,-0.1006253021516458,-0.09815338854334502,-0.07874689934671425,-0.039855451358214944,-0.011385831242364808,-0.009212580090351308,-0.008830737470188199,0.0,0.47997856492425933
-0.606899225195795,-0.6047510344289866,-0.6024997150794827,-0.5989429372551816,-0.5867807558674529,-0.5806038670759052,-0.5781319534676044,-0.5587254642709736,-0.5198340162824743,-0.49136439616662414,-0.48919114501461064,-0.48880930239444753,-0.47997856492425933,0.0
