CatBoostRegressor_opt,CatBoostRegressor,GradientBoostingRegressor,MLPRegressor,ExtraTreesRegressor,XGBRegressor,RandomForestRegressor,AdaBoostRegressor,SVR,Ridge,ElasticNetCV,LinearRegression,KNeighborsRegressor,DummyRegressor
1.0,0.9,0.9,0.9,0.9,0.8825236686556972,0.5975078937075964,0.01047883749483891,0.0032133630628636833,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.9,0.9,0.9,0.8025845826068982,0.03193146012271375,0.010978035357096072,0.001,0.001,0.001,0.001,0.001
0.9,0.9,1.0,0.9,0.9,0.9,0.8886929367049226,0.04894974487411652,0.017762287807065902,0.001,0.001,0.001,0.001,0.001
0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.07958811306754887,0.0306656576243598,0.001,0.001,0.001,0.001,0.001
0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.09069074159082147,0.03606813466437808,0.001,0.001,0.001,0.001,0.001
0.8825236686556972,0.9,0.9,0.9,0.9,1.0,0.9,0.6880048202228994,0.4908160315478567,0.021418184401239992,0.010076126379153227,0.003934774397073237,0.001,0.001
0.5975078937075964,0.8025845826068982,0.8886929367049226,0.9,0.9,0.9,1.0,0.9,0.7760414926436159,0.08678939056539281,0.045998547327500416,0.020486833551913608,0.0016944649702751446,0.001
0.01047883749483891,0.03193146012271375,0.04894974487411652,0.07958811306754887,0.09069074159082147,0.6880048202228994,0.9,1.0,0.9,0.9,0.8757051494624348,0.718088169226814,0.2886652530196334,0.001
0.0032133630628636833,0.010978035357096072,0.017762287807065902,0.0306656576243598,0.03606813466437808,0.4908160315478567,0.7760414926436159,0.9,1.0,0.9,0.9,0.9,0.49733998175476735,0.001
0.001,0.001,0.001,0.001,0.001,0.021418184401239992,0.08678939056539281,0.9,0.9,1.0,0.9,0.9,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.010076126379153227,0.045998547327500416,0.8757051494624348,0.9,0.9,1.0,0.9,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.003934774397073237,0.020486833551913608,0.718088169226814,0.9,0.9,0.9,1.0,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.0016944649702751446,0.2886652530196334,0.49733998175476735,0.9,0.9,0.9,1.0,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0
