ECFP2,ECFP4,ECFP6,FCFP2,FCFP4,FCFP6,MACCS,RDK5,RDK6,RDK7,avalon,mordred,pubchem,rdkdes
1.0,1.0,9.51607283431817e-09,0.013079877441115733,1.1520084468679333e-16,7.133191027915156e-13,1.0,8.757484284866419e-16,5.039577511338268e-24,1.6385326739941564e-30,4.78338577645203e-23,1.2000524858556143e-33,4.581278576235104e-12,5.0918752048527515e-33
1.0,1.0,0.00015600080650057324,1.0,5.647999188687558e-11,8.820580952048212e-08,1.0,3.204288135249835e-10,1.4644358361904843e-17,1.2400960366176577e-23,1.1520084468679333e-16,1.2946045804830038e-26,3.9199743773076617e-07,5.123184759110875e-26
9.51607283431817e-09,0.00015600080650057324,1.0,0.0798622782088818,0.17756683410696472,1.0,7.47983293083748e-05,0.3533242227422669,5.997444729352033e-05,4.954903234816484e-09,0.00019665608405225075,2.7749481316831315e-11,1.0,7.973042019417847e-11
0.013079877441115733,1.0,0.0798622782088818,1.0,9.396421451818295e-07,0.00030967256471007827,1.0,4.034450465916916e-06,2.1946912342497332e-12,6.375126194710503e-18,1.3736092768875815e-11,1.0084271604875043e-20,0.0010189919705404686,3.71984552385462e-20
1.1520084468679333e-16,5.647999188687558e-11,0.17756683410696472,9.396421451818295e-07,1.0,1.0,1.9542953895449686e-11,1.0,0.6481449139108163,0.00306238306625738,1.0,9.508220621191062e-05,1.0,0.00019665608405225075
7.133191027915156e-13,8.820580952048212e-08,1.0,0.00030967256471007827,1.0,1.0,3.482124567684859e-08,1.0,0.023315196411705368,1.6027857175475105e-05,0.05724199044203265,2.1499618904449567e-07,1.0,5.225011993890461e-07
1.0,1.0,7.47983293083748e-05,1.0,1.9542953895449686e-11,3.482124567684859e-08,1.0,1.1232020222532488e-10,4.225205009536675e-18,3.227539754855901e-24,3.3462947651159165e-17,3.212178890424269e-27,1.601463594794917e-07,1.2946045804830038e-26
8.757484284866419e-16,3.204288135249835e-10,0.3533242227422669,4.034450465916916e-06,1.0,1.0,1.1232020222532488e-10,1.0,0.3533242227422669,0.0010189919705404686,0.6481449139108163,2.7253752922561925e-05,1.0,5.997444729352033e-05
5.039577511338268e-24,1.4644358361904843e-17,5.997444729352033e-05,2.1946912342497332e-12,0.6481449139108163,0.023315196411705368,4.225205009536675e-18,0.3533242227422669,1.0,1.0,1.0,0.22901779718308957,0.008862236702592665,0.3533242227422669
1.6385326739941564e-30,1.2400960366176577e-23,4.954903234816484e-09,6.375126194710503e-18,0.00306238306625738,1.6027857175475105e-05,3.227539754855901e-24,0.0010189919705404686,1.0,1.0,0.7758371992459232,1.0,4.034450465916916e-06,1.0
4.78338577645203e-23,1.1520084468679333e-16,0.00019665608405225075,1.3736092768875815e-11,1.0,0.05724199044203265,3.3462947651159165e-17,0.6481449139108163,1.0,0.7758371992459232,1.0,0.11012300076378577,0.023315196411705368,0.17756683410696472
1.2000524858556143e-33,1.2946045804830038e-26,2.7749481316831315e-11,1.0084271604875043e-20,9.508220621191062e-05,2.1499618904449567e-07,3.212178890424269e-27,2.7253752922561925e-05,0.22901779718308957,1.0,0.11012300076378577,1.0,4.7300633992564987e-08,1.0
4.581278576235104e-12,3.9199743773076617e-07,1.0,0.0010189919705404686,1.0,1.0,1.601463594794917e-07,1.0,0.008862236702592665,4.034450465916916e-06,0.023315196411705368,4.7300633992564987e-08,1.0,1.1899689725346415e-07
5.0918752048527515e-33,5.123184759110875e-26,7.973042019417847e-11,3.71984552385462e-20,0.00019665608405225075,5.225011993890461e-07,1.2946045804830038e-26,5.997444729352033e-05,0.3533242227422669,1.0,0.17756683410696472,1.0,1.1899689725346415e-07,1.0
