rdkdes,mordred,RDK7,RDK6,avalon,RDK5,pubchem,FCFP4,MACCS,FCFP6,FCFP2,ECFP6,ECFP4,ECFP2
1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8344744347476464,0.12137296750381865,0.009702916771186731,0.008252532017930858,0.007924712377013976,0.001,0.001
0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.8690110843532837,0.13852480232413,0.011824523859210734,0.01008017507217307,0.00968697574910693,0.001,0.001
0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.17237421778293582,0.01607283305315177,0.013765511719572077,0.013238371571297702,0.001,0.001
0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.4190166746317012,0.06448741361070287,0.05644558348906392,0.054585318931761995,0.001,0.001
0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.638066068435515,0.15928322157906605,0.14233480503290274,0.1383303835141918,0.001,0.001
0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.755044338937533,0.24330623589432188,0.22124450268019502,0.21586096333214955,0.001,0.001
0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.6389942112146968,0.6110967244702813,0.6041618823844811,0.001,0.001
0.8344744347476464,0.8690110843532837,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.7226440933814938,0.694750035725342,0.6878133797386456,0.001,0.001
0.12137296750381865,0.13852480232413,0.17237421778293582,0.4190166746317012,0.638066068435515,0.755044338937533,0.9,0.9,1.0,0.9,0.9,0.9,0.022986200883137742,0.001
0.009702916771186731,0.011824523859210734,0.01607283305315177,0.06448741361070287,0.15928322157906605,0.24330623589432188,0.6389942112146968,0.7226440933814938,0.9,1.0,0.9,0.9,0.2192994035088578,0.0021617148343024972
0.008252532017930858,0.01008017507217307,0.013765511719572077,0.05644558348906392,0.14233480503290274,0.22124450268019502,0.6110967244702813,0.694750035725342,0.9,0.9,1.0,0.9,0.24122192234672302,0.0025853566366372815
0.007924712377013976,0.00968697574910693,0.013238371571297702,0.054585318931761995,0.1383303835141918,0.21586096333214955,0.6041618823844811,0.6878133797386456,0.9,0.9,0.9,1.0,0.24704691561175807,0.0027018851565955293
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.022986200883137742,0.2192994035088578,0.24122192234672302,0.24704691561175807,1.0,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0021617148343024972,0.0025853566366372815,0.0027018851565955293,0.9,1.0
