rdkdes,mordred,RDK7,RDK6,avalon,RDK5,pubchem,FCFP4,MACCS,FCFP6,ECFP6,FCFP2,ECFP4,ECFP2
1.0,0.9,0.9,0.9,0.9,0.9,0.58754826859285,0.43054977436846387,0.009288742611474388,0.0019181051372306746,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.9,0.9,0.9,0.5888836820092391,0.43203777456409054,0.009362970529074643,0.001934919788309175,0.001,0.001,0.001,0.001
0.9,0.9,1.0,0.9,0.9,0.9,0.7893079132381533,0.63706297025259,0.02815847757391443,0.0067154296479131625,0.001,0.001,0.001,0.001
0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.12507070379992857,0.03912070929834055,0.00691646913809163,0.005146400746362523,0.001,0.001
0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.2685336030251796,0.10121920711001575,0.022020910299240803,0.016864687958685565,0.001,0.001
0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.5768741098216066,0.30671417332289785,0.0934970345534416,0.07578439653193736,0.001,0.001
0.58754826859285,0.5888836820092391,0.7893079132381533,0.9,0.9,0.9,1.0,0.9,0.9,0.7049330843419341,0.3780481669477348,0.3250298487541676,0.001,0.001
0.43054977436846387,0.43203777456409054,0.63706297025259,0.9,0.9,0.9,0.9,1.0,0.9,0.8571784680835868,0.5407287445346531,0.4911411710250747,0.001,0.001
0.009288742611474388,0.009362970529074643,0.02815847757391443,0.12507070379992857,0.2685336030251796,0.5768741098216066,0.9,0.9,1.0,0.9,0.9,0.9,0.026369959088181183,0.001
0.0019181051372306746,0.001934919788309175,0.0067154296479131625,0.03912070929834055,0.10121920711001575,0.30671417332289785,0.7049330843419341,0.8571784680835868,0.9,1.0,0.9,0.9,0.09047935598087986,0.001
0.001,0.001,0.001,0.00691646913809163,0.022020910299240803,0.0934970345534416,0.3780481669477348,0.5407287445346531,0.9,0.9,1.0,0.9,0.2998654634648701,0.005703528408607217
0.001,0.001,0.001,0.005146400746362523,0.016864687958685565,0.07578439653193736,0.3250298487541676,0.4911411710250747,0.9,0.9,0.9,1.0,0.3488998995140806,0.0076522522492397105
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.026369959088181183,0.09047935598087986,0.2998654634648701,0.3488998995140806,1.0,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005703528408607217,0.0076522522492397105,0.9,1.0
